timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/17 12:38:52.286, 30.35 W, 76, 34 %, 1500 MHz
2026/06/17 12:38:53.294, 30.59 W, 76, 33 %, 1500 MHz
2026/06/17 12:38:54.302, 30.17 W, 76, 32 %, 1500 MHz
2026/06/17 12:38:55.316, 31.26 W, 76, 35 %, 1500 MHz
2026/06/17 12:38:56.328, 30.50 W, 76, 34 %, 1500 MHz
2026/06/17 12:38:57.342, 29.33 W, 76, 33 %, 1500 MHz
2026/06/17 12:38:58.354, 29.61 W, 76, 33 %, 1500 MHz
2026/06/17 12:38:59.369, 27.70 W, 76, 27 %, 1500 MHz
2026/06/17 12:39:00.382, 30.80 W, 76, 31 %, 1500 MHz
2026/06/17 12:39:01.391, 29.75 W, 76, 31 %, 1500 MHz
2026/06/17 12:39:02.402, 29.16 W, 76, 26 %, 1500 MHz
2026/06/17 12:39:03.416, 30.45 W, 77, 34 %, 1500 MHz
2026/06/17 12:39:04.425, 31.34 W, 77, 35 %, 1500 MHz
2026/06/17 12:39:05.441, 31.22 W, 76, 35 %, 1500 MHz
2026/06/17 12:39:06.458, 31.77 W, 77, 36 %, 1500 MHz
2026/06/17 12:39:07.471, 29.62 W, 77, 27 %, 1500 MHz
2026/06/17 12:39:08.486, 31.19 W, 77, 35 %, 1500 MHz
2026/06/17 12:39:09.495, 31.26 W, 77, 34 %, 1500 MHz
2026/06/17 12:39:10.507, 32.12 W, 77, 36 %, 1500 MHz
2026/06/17 12:39:11.521, 31.80 W, 77, 34 %, 1500 MHz
2026/06/17 12:39:12.534, 30.14 W, 77, 29 %, 1500 MHz
2026/06/17 12:39:13.551, 29.60 W, 77, 31 %, 1500 MHz
2026/06/17 12:39:14.563, 29.06 W, 77, 29 %, 1500 MHz
2026/06/17 12:39:15.577, 29.81 W, 77, 32 %, 1500 MHz
2026/06/17 12:39:16.591, 29.43 W, 77, 29 %, 1500 MHz
2026/06/17 12:39:17.607, 29.20 W, 77, 31 %, 1500 MHz
2026/06/17 12:39:18.622, 31.61 W, 77, 32 %, 1500 MHz
2026/06/17 12:39:19.638, 31.41 W, 77, 34 %, 1500 MHz
