timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/22 13:55:02.109, 30.77 W, 77, 31 %, 1500 MHz
2026/06/22 13:55:03.123, 28.09 W, 77, 33 %, 1500 MHz
2026/06/22 13:55:04.135, 30.63 W, 77, 32 %, 1500 MHz
2026/06/22 13:55:05.146, 30.81 W, 77, 32 %, 1500 MHz
2026/06/22 13:55:06.158, 31.57 W, 78, 34 %, 1500 MHz
2026/06/22 13:55:07.172, 29.97 W, 77, 33 %, 1500 MHz
2026/06/22 13:55:08.186, 30.57 W, 77, 33 %, 1500 MHz
2026/06/22 13:55:09.199, 31.70 W, 78, 37 %, 1500 MHz
2026/06/22 13:55:10.206, 30.12 W, 77, 32 %, 1500 MHz
2026/06/22 13:55:11.213, 29.65 W, 77, 30 %, 1500 MHz
2026/06/22 13:55:12.227, 27.97 W, 77, 31 %, 1500 MHz
2026/06/22 13:55:13.238, 29.12 W, 77, 30 %, 1500 MHz
2026/06/22 13:55:14.248, 30.64 W, 77, 34 %, 1500 MHz
2026/06/22 13:55:15.255, 30.03 W, 77, 32 %, 1500 MHz
2026/06/22 13:55:16.264, 31.38 W, 77, 33 %, 1500 MHz
2026/06/22 13:55:17.278, 31.13 W, 78, 33 %, 1500 MHz
2026/06/22 13:55:18.294, 32.00 W, 78, 36 %, 1500 MHz
2026/06/22 13:55:19.305, 29.56 W, 78, 28 %, 1500 MHz
2026/06/22 13:55:20.315, 30.75 W, 78, 31 %, 1500 MHz
2026/06/22 13:55:21.339, 30.70 W, 78, 33 %, 1500 MHz
2026/06/22 13:55:22.344, 30.48 W, 78, 27 %, 1500 MHz
2026/06/22 13:55:23.355, 30.68 W, 78, 34 %, 1500 MHz
2026/06/22 13:55:24.361, 31.04 W, 77, 32 %, 1500 MHz
2026/06/22 13:55:25.368, 29.81 W, 78, 34 %, 1500 MHz
2026/06/22 13:55:26.378, 33.08 W, 78, 39 %, 1500 MHz
2026/06/22 13:55:27.394, 33.20 W, 78, 35 %, 1507 MHz
2026/06/22 13:55:28.403, 34.03 W, 78, 39 %, 1515 MHz
2026/06/22 13:55:29.411, 31.13 W, 78, 33 %, 1515 MHz
2026/06/22 13:55:30.429, 31.39 W, 78, 32 %, 1500 MHz
2026/06/22 13:55:31.437, 30.64 W, 78, 31 %, 1500 MHz
2026/06/22 13:55:32.445, 31.93 W, 78, 36 %, 1500 MHz
2026/06/22 13:55:33.454, 31.83 W, 78, 34 %, 1500 MHz
2026/06/22 13:55:34.467, 26.97 W, 78, 27 %, 1500 MHz
2026/06/22 13:55:35.474, 30.94 W, 78, 35 %, 1500 MHz
2026/06/22 13:55:36.495, 31.25 W, 78, 35 %, 1500 MHz
2026/06/22 13:55:37.499, 30.08 W, 78, 27 %, 1500 MHz
2026/06/22 13:55:38.511, 29.63 W, 78, 33 %, 1500 MHz
2026/06/22 13:55:39.523, 30.64 W, 78, 33 %, 1500 MHz
2026/06/22 13:55:40.531, 30.04 W, 78, 30 %, 1500 MHz
2026/06/22 13:55:41.543, 31.23 W, 78, 34 %, 1500 MHz
2026/06/22 13:55:42.553, 30.69 W, 78, 33 %, 1500 MHz
2026/06/22 13:55:43.567, 29.60 W, 78, 29 %, 1500 MHz
2026/06/22 13:55:44.573, 31.60 W, 78, 35 %, 1500 MHz
2026/06/22 13:55:45.584, 31.77 W, 79, 33 %, 1500 MHz
2026/06/22 13:55:46.596, 31.18 W, 78, 36 %, 1500 MHz
2026/06/22 13:55:47.609, 31.19 W, 78, 32 %, 1500 MHz
2026/06/22 13:55:48.623, 32.09 W, 79, 37 %, 1500 MHz
2026/06/22 13:55:49.638, 31.02 W, 78, 25 %, 1500 MHz
2026/06/22 13:55:50.648, 32.23 W, 79, 36 %, 1500 MHz
2026/06/22 13:55:51.659, 32.74 W, 79, 37 %, 1500 MHz
2026/06/22 13:55:52.667, 31.75 W, 79, 35 %, 1500 MHz
2026/06/22 13:55:53.689, 31.18 W, 79, 34 %, 1500 MHz
2026/06/22 13:55:54.698, 31.54 W, 79, 30 %, 1500 MHz
2026/06/22 13:55:55.714, 32.68 W, 79, 36 %, 1500 MHz
2026/06/22 13:55:56.727, 34.00 W, 79, 41 %, 1552 MHz
2026/06/22 13:55:57.740, 33.67 W, 79, 35 %, 1552 MHz
2026/06/22 13:55:58.752, 33.56 W, 79, 39 %, 1500 MHz
2026/06/22 13:55:59.763, 33.03 W, 79, 41 %, 1575 MHz
2026/06/22 13:56:00.776, 35.60 W, 80, 36 %, 1575 MHz
2026/06/22 13:56:01.791, 34.91 W, 79, 36 %, 1500 MHz
2026/06/22 13:56:02.801, 30.80 W, 79, 28 %, 1500 MHz
2026/06/22 13:56:03.813, 31.73 W, 79, 35 %, 1500 MHz
2026/06/22 13:56:04.827, 32.16 W, 79, 35 %, 1500 MHz
2026/06/22 13:56:05.842, 31.29 W, 79, 34 %, 1500 MHz
2026/06/22 13:56:06.850, 33.06 W, 79, 39 %, 1500 MHz
2026/06/22 13:56:07.867, 33.33 W, 79, 38 %, 1500 MHz
2026/06/22 13:56:08.879, 32.72 W, 79, 34 %, 1500 MHz
2026/06/22 13:56:09.891, 33.05 W, 79, 38 %, 1500 MHz
2026/06/22 13:56:10.901, 32.45 W, 79, 35 %, 1500 MHz
2026/06/22 13:56:11.913, 31.98 W, 79, 36 %, 1500 MHz
2026/06/22 13:56:12.923, 29.43 W, 79, 22 %, 1500 MHz
2026/06/22 13:56:13.932, 33.63 W, 80, 37 %, 1500 MHz
2026/06/22 13:56:14.942, 31.95 W, 79, 34 %, 1500 MHz
2026/06/22 13:56:15.956, 33.04 W, 79, 37 %, 1500 MHz
2026/06/22 13:56:16.978, 33.23 W, 80, 39 %, 1500 MHz
2026/06/22 13:56:17.993, 33.67 W, 80, 40 %, 1507 MHz
2026/06/22 13:56:19.005, 34.00 W, 80, 38 %, 1515 MHz
2026/06/22 13:56:20.015, 33.23 W, 80, 35 %, 1522 MHz
2026/06/22 13:56:21.028, 34.62 W, 80, 40 %, 1530 MHz
2026/06/22 13:56:22.042, 32.17 W, 80, 36 %, 1530 MHz
2026/06/22 13:56:23.056, 31.50 W, 79, 33 %, 1500 MHz
2026/06/22 13:56:24.069, 31.84 W, 80, 36 %, 1500 MHz
2026/06/22 13:56:25.081, 32.15 W, 80, 35 %, 1500 MHz
2026/06/22 13:56:26.093, 32.85 W, 80, 37 %, 1515 MHz
2026/06/22 13:56:27.108, 31.29 W, 80, 35 %, 1515 MHz
2026/06/22 13:56:28.125, 31.86 W, 80, 36 %, 1500 MHz
2026/06/22 13:56:29.137, 32.44 W, 80, 35 %, 1500 MHz
2026/06/22 13:56:30.152, 30.87 W, 80, 24 %, 1500 MHz
2026/06/22 13:56:31.170, 31.59 W, 80, 33 %, 1500 MHz
2026/06/22 13:56:32.183, 31.53 W, 80, 34 %, 1500 MHz
2026/06/22 13:56:33.193, 32.36 W, 79, 34 %, 1500 MHz
2026/06/22 13:56:34.207, 32.49 W, 80, 35 %, 1500 MHz
2026/06/22 13:56:35.220, 32.35 W, 80, 38 %, 1500 MHz
2026/06/22 13:56:36.230, 32.38 W, 80, 37 %, 1500 MHz
2026/06/22 13:56:37.247, 33.27 W, 80, 36 %, 1500 MHz
2026/06/22 13:56:38.260, 33.45 W, 80, 36 %, 1500 MHz
2026/06/22 13:56:39.273, 34.01 W, 80, 39 %, 1500 MHz
2026/06/22 13:56:40.284, 33.23 W, 80, 36 %, 1515 MHz
2026/06/22 13:56:41.307, 33.67 W, 81, 40 %, 1515 MHz
2026/06/22 13:56:42.316, 34.07 W, 81, 40 %, 1500 MHz
2026/06/22 13:56:43.325, 33.20 W, 80, 39 %, 1500 MHz
2026/06/22 13:56:44.340, 31.97 W, 80, 32 %, 1500 MHz
2026/06/22 13:56:45.347, 29.72 W, 81, 36 %, 1500 MHz
2026/06/22 13:56:46.363, 28.85 W, 80, 31 %, 1500 MHz
