timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/18 15:54:16.616, 47.59 W, 71, 30 %, 1912 MHz
2026/06/18 15:54:17.636, 46.82 W, 71, 36 %, 1912 MHz
2026/06/18 15:54:18.645, 42.13 W, 70, 36 %, 1755 MHz
2026/06/18 15:54:19.658, 34.61 W, 70, 36 %, 1635 MHz
2026/06/18 15:54:20.673, 33.33 W, 69, 39 %, 1590 MHz
2026/06/18 15:54:21.686, 32.49 W, 69, 40 %, 1560 MHz
2026/06/18 15:54:22.689, 31.93 W, 69, 39 %, 1537 MHz
2026/06/18 15:54:23.702, 31.33 W, 69, 40 %, 1522 MHz
2026/06/18 15:54:24.716, 30.85 W, 69, 37 %, 1530 MHz
2026/06/18 15:54:25.732, 32.04 W, 69, 39 %, 1605 MHz
2026/06/18 15:54:26.745, 36.24 W, 70, 41 %, 1732 MHz
2026/06/18 15:54:27.749, 38.44 W, 70, 37 %, 1732 MHz
2026/06/18 15:54:28.767, 37.12 W, 70, 37 %, 1672 MHz
2026/06/18 15:54:29.781, 34.68 W, 70, 37 %, 1620 MHz
2026/06/18 15:54:30.798, 33.55 W, 70, 38 %, 1582 MHz
2026/06/18 15:54:31.808, 33.05 W, 70, 38 %, 1552 MHz
2026/06/18 15:54:32.824, 34.10 W, 70, 40 %, 1605 MHz
2026/06/18 15:54:33.834, 36.62 W, 70, 38 %, 1680 MHz
2026/06/18 15:54:34.849, 37.96 W, 70, 38 %, 1695 MHz
2026/06/18 15:54:35.858, 37.23 W, 71, 39 %, 1695 MHz
2026/06/18 15:54:36.879, 35.76 W, 70, 39 %, 1627 MHz
2026/06/18 15:54:37.893, 33.74 W, 71, 40 %, 1650 MHz
2026/06/18 15:54:38.910, 35.69 W, 70, 39 %, 1672 MHz
2026/06/18 15:54:39.924, 32.13 W, 70, 32 %, 1515 MHz
2026/06/18 15:54:40.931, 29.27 W, 70, 36 %, 1500 MHz
2026/06/18 15:54:41.935, 29.59 W, 70, 37 %, 1500 MHz
2026/06/18 15:54:42.946, 27.23 W, 69, 25 %, 1500 MHz
2026/06/18 15:54:43.960, 27.37 W, 70, 32 %, 1500 MHz
2026/06/18 15:54:44.970, 28.89 W, 70, 37 %, 1500 MHz
2026/06/18 15:54:45.983, 28.58 W, 70, 30 %, 1500 MHz
2026/06/18 15:54:46.997, 29.36 W, 70, 35 %, 1500 MHz
2026/06/18 15:54:48.007, 29.24 W, 70, 36 %, 1500 MHz
2026/06/18 15:54:49.020, 28.34 W, 70, 36 %, 1500 MHz
2026/06/18 15:54:50.031, 29.88 W, 70, 37 %, 1500 MHz
2026/06/18 15:54:51.036, 31.28 W, 70, 39 %, 1522 MHz
2026/06/18 15:54:52.045, 28.92 W, 70, 27 %, 1522 MHz
2026/06/18 15:54:53.056, 29.00 W, 70, 35 %, 1500 MHz
2026/06/18 15:54:54.073, 28.72 W, 70, 35 %, 1500 MHz
2026/06/18 15:54:55.082, 27.78 W, 70, 32 %, 1500 MHz
2026/06/18 15:54:56.095, 29.39 W, 70, 36 %, 1500 MHz
2026/06/18 15:54:57.114, 29.10 W, 70, 35 %, 1500 MHz
2026/06/18 15:54:58.120, 28.17 W, 70, 26 %, 1500 MHz
2026/06/18 15:54:59.136, 29.03 W, 70, 36 %, 1500 MHz
2026/06/18 15:55:00.154, 29.68 W, 70, 38 %, 1500 MHz
2026/06/18 15:55:01.160, 29.23 W, 69, 36 %, 1500 MHz
2026/06/18 15:55:02.175, 28.09 W, 70, 35 %, 1500 MHz
2026/06/18 15:55:03.201, 28.36 W, 70, 34 %, 1500 MHz
2026/06/18 15:55:04.212, 27.29 W, 69, 35 %, 1500 MHz
2026/06/18 15:55:05.225, 28.89 W, 70, 37 %, 1500 MHz
